alpha	beta	eta	r
0.104465171	3.43922E-05	2.408720007	4.5139334
0.007853443	0.003259431	207.5271633	10.42002658
0.068738355	0.000407364	855.9455194	81.42050005
0.003429612	0.076197753	18.72708588	25.67182186
0.281516075	0.015605467	178.6848697	94.83690931
5.464222409	430.4117323	0.000330619	1.215157774
1.528088849	0.002456036	0.177446832	17.72180462
0.42158815	0.003102378	0.101099195	3.249545841
33.57219277	153.008469	1.724227225	0.307825328
13.08411603	407.1791644	0.00050473	1.146319159
6.984118892	73.52578203	0.001503978	1.614615924
0.678514582	15.78396457	0.002800544	2.497570209
0.013104297	1.84331E-05	267.7601304	108.2896743
0.720150061	0.179337706	192.3872095	60.62014366
2.102458265	10.53257088	0.425962207	0.097886341
0.080706525	0.042241858	0.966927227	0.014628735
146.5345774	4666.009113	0.001552747	31.95414438
4.676442113	24.63518376	0.381285619	0.071918882
0.364531019	0.112596372	164.7042972	58.38447013
0.106948701	2.15399E-05	1.266183843	1.272106464
0.265634358	0.185161762	0.236771821	0.001274633
0.068544807	0.003824251	268.461503	56.57552481
450.3707319	6938.474661	0.000904228	3.320301254
27.41388932	122.2574605	1.54595912	0.229342226
0.00781775	0.000151669	428.0574696	84.68770642
5.217315651	3.574443819	0.691601936	0.037334246
0.746875236	0.000387884	0.292536766	3.788779311
14.85969093	88.87371145	0.000878574	1.572375669
0.027111888	0.447198538	30.47683025	56.99099853
0.058192379	2.79099E-05	48.94294786	27.32930705
0.41768244	0.003428192	0.161863455	2.971955179
0.004819904	0.129286877	17.54740238	20.83787977
0.750909514	377.6781344	0.00158592	180.8778428
1.431648689	0.002548873	0.092895629	2.814774905
0.083117965	0.094551682	0.605318921	0.015835554
27.40908882	819.8151336	3.680670408	1.793863527
0.007705423	0.025527509	1351.200508	13.02595307
22.51202773	1432.288812	0.001133464	1.666860346
0.000826097	0.008124645	0.851528345	0.03073766
2.385172863	685.5052638	0.002444365	226.7156739
0.316016236	2.045531457	0.367010081	0.074854891
0.223585672	6.49498E-05	0.768436305	7.691294918
2.375368376	765.1461902	0.000647107	1.079382135
0.046756254	6.30492E-05	241.4979894	72.65265682
